🔫台湾频道,#genre#
寰宇新聞,http://59.125.101.187:8847/http/192.168.77.24:8081/hls/76/818/ch62.m3u8
寰宇新闻台,http://103.144.247.90:9500/live.m3u8?c=9
中天新闻台,http://103.144.247.90:9500/live.m3u8?c=6
民视新闻台,http://103.144.247.90:9500/live.m3u8?c=11
台视新闻台,http://103.144.247.90:9500/live.m3u8?c=10
三立LIVE,http://103.144.247.90:9500/live.m3u8?c=7
东森LIVE,http://103.144.247.90:9500/live.m3u8?c=5
J2,http://120.84.96.192:808/hls/86/index.m3u8
明珠台,http://120.84.96.192:808/hls/26/index.m3u8
翡翠台,http://120.84.96.192:808/hls/25/index.m3u8
东森电影,http://120.84.96.192:808/hls/32/index.m3u8
龙祥电影,http://120.84.96.192:808/hls/35/index.m3u8
天映经典,http://120.84.96.192:808/hls/85/index.m3u8
卫视电影台,http://61.219.170.95:18529/.m3u8
龙华电影,http://61.219.170.95:18574/.m3u8
龙华偶像,http://59.125.98.83:8536/playlist.m3u8
龙华戏剧,http://59.125.98.83:8534/playlist.m3u8
龙华戏剧,http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8
龙华偶像,http://59.125.98.83:8536/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8
中視HD,http://59.125.101.187:8514/http/192.168.77.24:8081/hls/72/814/ch47.m3u8
華視HD,http://59.125.101.187:8537/http/192.168.77.24:8081/hls/72/814/ch48.m3u8
民視HD,http://59.125.101.187:9512/http/192.168.77.24:8081/hls/73/815/ch49.m3u8
國家地理HD,http://59.125.101.187:8518/http/192.168.77.24:8081/hls/61/803/ch01.m3u8
DISCOVERY,http://59.125.101.187:8519/http/192.168.77.24:8081/hls/71/813/ch44.m3u8
龍華卡通台,http://59.125.101.187:8521/http/192.168.77.24:8066/hls/210/10013/cstv13.m3u8
緯來綜合HD,http://59.125.101.187:8527/http/192.168.77.24:8081/hls/68/810/ch32.m3u8
八大第一HD,http://59.125.101.187:8522/http/192.168.77.24:8081/hls/66/808/ch22.m3u8
八大綜合HD,http://59.125.101.187:8882/http/192.168.77.24:8081/hls/66/808/ch21.m3u8
三立台灣HD,http://59.125.101.187:8501/http/192.168.77.24:8081/hls/65/807/ch20.m3u8
三立都會HD,http://59.125.101.187:8523/http/192.168.77.24:8081/hls/65/807/ch19.m3u8
東森綜合HD,http://59.125.101.187:9511/http/192.168.77.24:8081/hls/63/805/ch12.m3u8
中天綜合HD,http://59.125.101.187:8826/http/192.168.77.24:8081/hls/67/809/ch25.m3u8
中天娛樂HD,http://59.125.101.187:8507/http/192.168.77.24:8081/hls/67/809/ch26.m3u8
龍華戲劇台,http://59.125.101.187:8525/http/192.168.77.24:8066/hls/210/10010/cstv10.m3u8
年代新聞,http://59.125.101.187:8531/http/192.168.77.24:8081/hls/67/809/ch27.m3u8
東森新聞HD,http://59.125.101.187:8503/http/192.168.77.24:8081/hls/63/805/ch10.m3u8
中天新聞,http://59.125.101.187:8841/http/192.168.77.24:8081/hls/78/80/ch63max.m3u8
三立新聞HD,http://59.125.101.187:8533/http/192.168.77.24:8081/hls/65/807/ch18.m3u8

🔫浙江频道,#genre#
浙江卫视,http://39.135.32.10:6610/000000001000/HD-4000k-1080P-zhejiangstv/1.m3u8?IASHttpSessionId=OTT?zzhed
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8?zzhed#http://yd-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel02/720p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel02/360p.m3u8?zzhed
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?zzhed#http://yd-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel03/720p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel03/360p.m3u8?zzhed
浙江教科影院,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8?zzhed#http://yd-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel04/720p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel04/360p.m3u8?zzhed
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?zzhed#http://yd-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel06/720p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel06/360p.m3u8?zzhed
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?zzhed#http://yd-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel07/720p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel07/360p.m3u8?zzhed
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?zzhed#http://yd-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel08/720p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel08/360p.m3u8?zzhed
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8?zzhed#http://yd-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel10/720p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel10/360p.m3u8?zzhed
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8?zzhed#http://yd-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel12/720p.m3u8?zzhed#http://hw-m-l.cztv.com/channels/lantian/channel12/360p.m3u8?zzhed
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8?zzhed#http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8?zzhed
绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?zzhed
绍兴文化影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed
金华新闻综合,http://live.plus.jinhua.com.cn/xwzh/playlist.m3u8?zzhed
金华教育科技,http://live.plus.jinhua.com.cn/jykj/playlist.m3u8?zzhed
金华公共频道,http://live.plus.jinhua.com.cn/jjsh/playlist.m3u8?zzhed
金华都市农村,http://live2.plus.jinhua.com.cn/dsnc/playlist.m3u8?zzhed
舟山新闻综合,http://live1.plus.wifizs.cn/xwzh/sd/live.m3u8?zzhed
舟山公共生活,http://live1.plus.wifizs.cn/ggsh/sd/live.m3u8?zzhed
舟山群岛旅游,http://live1.plus.wifizs.cn/qdly/sd/live.m3u8?zzhed
湖州新闻综合,http://live.plus.hugd.com/xwzhpd/sd/live.m3u8?zzhed
湖州公共民生,http://live1.plus.hugd.com/ggpd1/sd/live.m3u8?zzhed
湖州文化娱乐,http://live.plus.hugd.com/whylpd/sd/live.m3u8?zzhed
嘉兴新闻综合,http://pluslive.jiaxingren.com/xwzh/sd/live.m3u8?zzhed
温州经济科教,http://live.wzqmt.com/wztv2/sd/live.m3u8?zzhed
温州都市生活,http://live.wzqmt.com/wztv3/sd/live.m3u8?zzhed
温州公共频道,http://live.wzqmt.com/wztv4/sd/live.m3u8?zzhed
磐安新闻综合,http://hlsv2.quklive.com/live/1626400915947070/index.m3u8?zzhed
磐安文化生活,http://hlsv2.quklive.com/live/1626401163709056/index.m3u8?zzhed
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8?zzhed
永康新闻综合,http://hlsv2.quklive.com/live/1625061424267104/index.m3u8?zzhed
永康华溪频道,http://hlsv2.quklive.com/live/1625062755227231/index.m3u8?zzhed
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8?zzhed
平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed
淳安电视台,https://wtmtyoutlive.watonemt.com/f2p7vq/lf76v9.m3u8?zzhed#https://wtmtylive.yunshicloud.com/tbziu1/ad592j.m3u8?zzhed
桐庐综合频道,http://livetongl.chinamcache.com/live/tlzb01.m3u8?txSecret=2ee28a051ebfb1b0771869a7d652d4a9&txTime=639a8391?zzhed
